MergedCellType	cell_type	data_source	feature_DHS	feature_ATAC	feature_H3K27ac	default_accessibility_feature	hic_cell_type	RNA_tpm_file	genome	ABCPredictionsForGWAS	nEnhancers	ABCEnhancers	Neighborhoods	Predictions	bedpe
CD14-positive monocyte treated with RPMI 4h	CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016/ATAC_RPMI_4h_8448.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016/RPMI_4h_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016/RPMI_4h_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_4h_6089/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_4h_6712/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_4h_don73_10834/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with RPMI d1	CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016/ATAC_RPMI_d1_8451.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016/RPMI_d1_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016/RPMI_d1_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_d1_6092/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_d1_6715/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocyte treated with RPMI d6	CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016	Novakovic2016		/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016/ATAC_RPMI_d6_8454.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016/don73_RPMI_d6_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016/don74_RPMI_d6_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016/RPMI_d6_rep1_H3K27ac.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016/RPMI_d6_rep2_H3K27ac.sorted.unique_alignment.bam	ATAC	Mon	/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_d6_6095/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_d6_6718/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_d6_8746/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_d6_8752/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_d6_9243/symbol.tpm.txt,/seq/lincRNA/RAP/External/Novakovic2016-Monocyte//RNA/RPMI_d6_don70_10647/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD14-positive monocytes	CD14-positive_monocytes-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocytes-Roadmap/E124-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocytes-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/CD14-positive_monocytes-Roadmap/E124-H3K27ac.tagAlign.gz	DHS	Mon	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocytes-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocytes-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocytes-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD14-positive_monocytes-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD19-positive B cell	CD19-positive_B_cell-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/CD19-positive_B_cell-Roadmap/E032-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/CD19-positive_B_cell-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/CD19-positive_B_cell-Roadmap/E032-H3K27ac.tagAlign.gz	DHS	tB	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD19-positive_B_cell-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD19-positive_B_cell-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD19-positive_B_cell-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD19-positive_B_cell-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD3-positive T cell	CD3-positive_T_cell-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/CD3-positive_T_cell-Roadmap/E034-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/CD3-positive_T_cell-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/CD3-positive_T_cell-Roadmap/E034-H3K27ac.tagAlign.gz	DHS	CD3_TCell	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD3-positive_T_cell-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD3-positive_T_cell-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD3-positive_T_cell-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD3-positive_T_cell-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD34-positive mobilized	CD34-positive_mobilized-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/CD34-positive_mobilized-Roadmap/E050-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/CD34-positive_mobilized-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/CD34-positive_mobilized-Roadmap/E050-H3K27ac.tagAlign.gz	DHS	CD34_HSPC	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD34-positive_mobilized-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD34-positive_mobilized-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD34-positive_mobilized-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD34-positive_mobilized-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD4-positive helper T cell	CD4-positive_helper_T_cell-Corces2016	Corces2016-Roadmap		/oak/stanford/groups/engreitz/ABC_inputs/CD4-positive_helper_T_cell-Corces2016/CD4-9.merge.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD4-positive_helper_T_cell-Corces2016/E043-H3K27ac.tagAlign.gz	ATAC	aCD4	/seq/lincRNA/RAP/External/Corces2016-ATAC/RNAseq/CD4Tcell.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF880QDD.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF269QBU.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD4-positive_helper_T_cell-Corces2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD4-positive_helper_T_cell-Corces2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD4-positive_helper_T_cell-Corces2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD4-positive_helper_T_cell-Corces2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD4-positive helper T cell	CD4-positive_helper_T_cell-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/CD4-positive_helper_T_cell-ENCODE/ENCFF198FEP.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/CD4-positive_helper_T_cell-ENCODE/ENCFF905PBC.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/CD4-positive_helper_T_cell-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/CD4-positive_helper_T_cell-ENCODE/ENCFF063OFD.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/CD4-positive_helper_T_cell-ENCODE/ENCFF592HYA.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/CD4-positive_helper_T_cell-ENCODE/ENCFF728UTH.tagAlign.gz	DHS	aCD4	/seq/lincRNA/RAP/External/Corces2016-ATAC/RNAseq/CD4Tcell.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF880QDD.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF269QBU.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD4-positive_helper_T_cell-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD4-positive_helper_T_cell-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD4-positive_helper_T_cell-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD4-positive_helper_T_cell-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD56-positive natural killer cells	CD56-positive_natural_killer_cells-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/CD56-positive_natural_killer_cells-Roadmap/E046-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/CD56-positive_natural_killer_cells-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/CD56-positive_natural_killer_cells-Roadmap/E046-H3K27ac.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD56-positive_natural_killer_cells-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD56-positive_natural_killer_cells-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD56-positive_natural_killer_cells-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD56-positive_natural_killer_cells-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD8-positive, alpha-beta T cell	CD8-positive_alpha-beta_T_cell-Corces2016	Corces2016-Roadmap		/oak/stanford/groups/engreitz/ABC_inputs/CD8-positive_alpha-beta_T_cell-Corces2016/CD8-10.merge.bam	/oak/stanford/groups/engreitz/ABC_inputs/CD8-positive_alpha-beta_T_cell-Corces2016/E047-H3K27ac.tagAlign.gz	ATAC	tCD8	/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S40-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S41-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S42-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S43-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S44-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Corces2016-ATAC/RNAseq/CD8Tcell.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF495CNV.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF557VGS.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD8-positive_alpha-beta_T_cell-Corces2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD8-positive_alpha-beta_T_cell-Corces2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD8-positive_alpha-beta_T_cell-Corces2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD8-positive_alpha-beta_T_cell-Corces2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
CD8-positive, alpha-beta T cell	CD8-positive_alpha-beta_T_cell-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/CD8-positive_alpha-beta_T_cell-ENCODE/ENCFF579MOL.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/CD8-positive_alpha-beta_T_cell-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/CD8-positive_alpha-beta_T_cell-ENCODE/ENCFF360MOV.tagAlign.gz	DHS	tCD8	/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S40-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S41-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S42-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S43-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Bonnal2015-LymphocyteRNASeq//RNA/S44-CD8-Naive/symbol.tpm.txt,/seq/lincRNA/RAP/External/Corces2016-ATAC/RNAseq/CD8Tcell.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF495CNV.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF557VGS.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD8-positive_alpha-beta_T_cell-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD8-positive_alpha-beta_T_cell-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD8-positive_alpha-beta_T_cell-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/CD8-positive_alpha-beta_T_cell-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
coronary artery	coronary_artery-ENCODE	ENCODE		/oak/stanford/groups/engreitz/ABC_inputs/coronary_artery-ENCODE/Normal_Artery_ATAC_D1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/coronary_artery-ENCODE/Normal_Artery_ATAC_D2.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/coronary_artery-ENCODE/Normal_Artery_ATAC_D3.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/coronary_artery-ENCODE/ENCFF226TTG.tagAlign.gz	ATAC	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/coronary_artery-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/coronary_artery-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/coronary_artery-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/coronary_artery-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
coronary artery smooth muscle cell	coronary_artery_smooth_muscle_cell-Miller2016	Miller2016		/oak/stanford/groups/engreitz/ABC_inputs/coronary_artery_smooth_muscle_cell-Miller2016/HCASMC_ATAC_Control_D1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/coronary_artery_smooth_muscle_cell-Miller2016/HCASMC_ATAC_Control_D2.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/coronary_artery_smooth_muscle_cell-Miller2016/HCASMC_ChIP_H3K27ac_D1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/coronary_artery_smooth_muscle_cell-Miller2016/HCASMC_ChIP_H3K27ac_D2.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/coronary_artery_smooth_muscle_cell-Miller2016/HCASMC_ChIP_H3K27ac_D3.sorted.unique_alignment.bam	ATAC	average	/seq/lincRNA/RAP/External/Miller2016-SMC//RNA/HCASMC_RNA_Control_D2/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/coronary_artery_smooth_muscle_cell-Miller2016/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/coronary_artery_smooth_muscle_cell-Miller2016/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/coronary_artery_smooth_muscle_cell-Miller2016/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/coronary_artery_smooth_muscle_cell-Miller2016/Predictions_AvgHiC//EnhancerPredictions.bedpe
dendritic cell treated with Lipopolysaccharide 0 ng/mL for 0 hour	dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017	Garber2017		/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/DC-0hr-ENCSR204FCV.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/DC-0hr-ENCSR237VSF.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/DC-0hr-ENCSR370QWN.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/DC-0hr-ENCSR566LZT.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/DC-0hr-ENCSR940QJU.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/H3K27ac-DC-0hr-ENCSR399QWL.sorted.unique_alignment.bam	ATAC	Mon	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017/Predictions_AvgHiC//EnhancerPredictions.bedpe
dendritic cell treated with Lipopolysaccharide 100 ng/mL for 1 hour	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017	Garber2017		/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017/DC-1hr-ENCSR544YXV.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017/DC-1hr-ENCSR679NRJ.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017/H3K27ac-DC-1hr-ENCSR740ROX.sorted.unique_alignment.bam	ATAC	Mon	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017/Predictions_AvgHiC//EnhancerPredictions.bedpe
dendritic cell treated with Lipopolysaccharide 100 ng/mL for 2 hour	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017	Garber2017		/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/DC-2hr-ENCSR131CHJ.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/DC-2hr-ENCSR208NBF.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/DC-2hr-ENCSR459AYS.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/DC-2hr-ENCSR535NOD.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/DC-2hr-ENCSR628SXX.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/H3K27ac-DC-2hr-ENCSR450JZC.sorted.unique_alignment.bam	ATAC	Mon	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017/Predictions_AvgHiC//EnhancerPredictions.bedpe
